------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-23-17 09:40
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-22-17 16:58, 3339, 765
02-22-17 16:59, 3356, 809
02-22-17 17:00, 3482, 810
02-22-17 17:01, 3438, 844
02-22-17 17:02, 3160, 712
02-22-17 17:03, 3094, 674
02-22-17 17:04, 3088, 645
02-22-17 17:05, 3106, 645
02-22-17 17:06, 3229, 579
02-22-17 17:07, 3102, 530
02-22-17 17:08, 3192, 650
02-22-17 17:09, 3005, 500
02-22-17 17:10, 2842, 473
02-22-17 17:11, 2777, 456
02-22-17 17:12, 2796, 470
02-22-17 17:13, 2860, 446
